dimension_a,group_a,dimension_b,group_b,n_group,status,n,pct_within_group,pct_of_unemployed
Maakond,Lääne-Virumaa,age_group,45–54,38,not sent,5,0.13157894736842105,0.0010008006405124099
Maakond,Lääne-Virumaa,age_group,45–54,38,not participated,0,0.0,0.0
Maakond,Lääne-Virumaa,age_group,45–54,38,participated,33,0.868421052631579,0.006605284227381905
Maakond,Lääne-Virumaa,age_group,55+,13,not sent,0,0.0,0.0
Maakond,Lääne-Virumaa,age_group,55+,13,not participated,0,0.0,0.0
Maakond,Lääne-Virumaa,age_group,55+,13,participated,13,1.0,0.002602081665332266
Maakond,Läänemaa,age_group,15–24,19,not sent,3,0.15789473684210525,0.0006004803843074459
Maakond,Läänemaa,age_group,15–24,19,not participated,1,0.05263157894736842,0.00020016012810248197
Maakond,Läänemaa,age_group,15–24,19,participated,15,0.7894736842105263,0.00300240192153723
Maakond,Läänemaa,age_group,25–34,43,not sent,7,0.16279069767441862,0.0014011208967173738
Maakond,Läänemaa,age_group,25–34,43,not participated,1,0.023255813953488372,0.00020016012810248197
